Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AverageMonthlySpend,ChargeDifference,ServiceCount,TenureGroup,ChargeGroup,ContractRisk,ElectronicPayment,HasTechSupport,HasOnlineSecurity
Female,1,Yes,No,55,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,67.73,3715.03,No,67.546,0.1839999999999975,4,Loyal,Medium,0,0,0,1
Male,0,No,No,18,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,73.65,1344.02,Yes,74.66777777777777,-1.0177777777777663,6,Developing,High,2,0,0,1
Male,0,Yes,Yes,63,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer,80.59,5038.87,No,79.98206349206349,0.6079365079365147,3,Loyal,High,1,0,0,0
Male,0,Yes,Yes,4,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.55,204.28,No,51.07,5.479999999999997,3,New,Medium,2,1,0,0
Female,0,No,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,98.72,3333.64,No,101.01939393939394,-2.299393939393937,6,Established,High,2,0,1,0
Female,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card,101.12,471.13,No,94.226,6.8940000000000055,6,New,Very High,1,0,1,1
Female,0,No,Yes,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,53.23,174.08,No,34.816,18.413999999999994,2,New,Medium,2,0,0,0
Male,0,No,No,57,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,66.81,3633.75,No,63.75,3.0600000000000023,3,Loyal,Medium,1,1,0,0
Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,61.18,244.97,Yes,48.994,12.186,4,New,Medium,1,0,0,0
Female,0,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Credit card,83.5,5339.6,No,82.14769230769231,1.35230769230769,4,Loyal,High,0,0,1,0
Female,0,Yes,Yes,44,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Credit card,59.47,2497.78,No,56.76772727272728,2.702272727272721,3,Established,Medium,0,0,0,0
Male,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,83.36,2831.72,Yes,80.90628571428572,2.453714285714284,3,Established,High,2,0,0,1
Female,0,No,No,67,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card,68.9,4537.06,No,67.71731343283582,1.1826865671641826,2,Loyal,Medium,1,0,1,0
Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer,82.24,2218.09,No,79.2175,3.0224999999999937,2,Established,High,1,0,0,0
Male,0,Yes,No,29,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,56.97,1762.79,No,60.785862068965514,-3.815862068965515,3,Established,Medium,2,1,0,0
Male,0,Yes,No,30,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,76.78,2171.39,No,72.37966666666667,4.400333333333336,5,Established,High,1,1,0,0
Female,0,No,No,47,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,43.34,2083.2,No,44.32340425531915,-0.9834042553191438,0,Established,Medium,1,1,0,0
Female,0,Yes,Yes,62,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,67.64,4236.51,No,68.3308064516129,-0.6908064516129002,4,Loyal,Medium,2,1,0,0
Male,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.91,1445.59,No,36.13975,-1.2297500000000028,2,Established,Low,2,1,0,0
Male,1,Yes,Yes,21,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,62.95,1318.13,No,62.76809523809524,0.1819047619047609,4,Developing,Medium,2,0,0,0
Male,0,Yes,No,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,72.48,4812.44,No,74.03753846153846,-1.5575384615384564,6,Loyal,High,2,0,1,0
Female,1,Yes,Yes,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,792.05,No,18.001136363636363,-0.0011363636363626028,0,Established,Low,0,1,0,0
Female,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,23.52,1394.32,No,23.238666666666667,0.28133333333333255,1,Loyal,Low,2,0,0,0
Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card,78.15,2594.09,No,81.0653125,-2.915312499999999,2,Established,High,1,0,0,0
Female,0,Yes,No,15,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,63.3,935.6,No,62.373333333333335,0.9266666666666623,0,Developing,Medium,1,1,0,0
Female,0,No,No,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,68.77,4617.86,No,66.92550724637681,1.8444927536231859,6,Loyal,Medium,2,1,1,1
Male,1,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.05,1316.53,No,26.86795918367347,-0.8179591836734694,1,Loyal,Low,2,0,0,0
Male,0,No,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,83.76,2013.27,Yes,87.53347826086956,-3.7734782608695525,4,Developing,High,2,0,0,1
Female,1,No,Yes,62,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,92.83,5778.9,No,93.20806451612903,-0.37806451612902947,4,Loyal,High,2,0,1,1
Male,1,No,Yes,1,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,56.61,27.64,No,27.64,28.97,4,New,Medium,2,1,1,0
Female,0,No,No,67,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,96.67,6497.8,No,96.9820895522388,-0.3120895522388025,4,Loyal,High,2,0,0,1
Male,0,No,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card,84.32,3596.07,No,85.62071428571429,-1.3007142857142924,3,Established,High,1,0,0,0
Male,0,No,No,43,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,45.76,1885.08,No,43.839069767441856,1.9209302325581419,3,Established,Medium,1,1,0,0
Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,84.44,18.0,No,18.0,66.44,4,New,High,2,0,1,1
Male,0,Yes,Yes,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,71.79,922.3,No,70.94615384615385,0.8438461538461581,5,Developing,High,2,0,0,1
Female,0,No,No,52,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,84.28,4465.56,No,85.87615384615385,-1.5961538461538538,4,Loyal,High,0,1,0,1
Male,1,No,No,41,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card,51.91,2037.4,No,49.69268292682927,2.217317073170726,2,Established,Medium,2,0,0,0
Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,44.1,338.57,No,33.857,10.243000000000002,2,New,Medium,1,1,0,0
Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,85.31,4111.08,No,85.6475,-0.3374999999999915,4,Established,High,2,0,0,0
Male,0,Yes,Yes,54,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer,75.67,4067.6,No,75.32592592592593,0.3440740740740722,3,Loyal,High,0,0,0,1
Male,0,Yes,Yes,20,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.66,1537.79,No,76.8895,2.7704999999999984,2,Developing,High,2,1,0,0
Female,1,No,No,50,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,73.39,3762.56,No,75.2512,-1.8611999999999966,3,Loyal,High,2,0,0,0
Male,0,Yes,No,71,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,74.81,5257.8,No,74.05352112676057,0.7564788732394305,5,Loyal,High,1,1,0,0
Male,1,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,77.34,2735.6,No,78.16,-0.8199999999999932,2,Established,High,2,1,0,0
Female,0,Yes,No,17,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,68.3,1228.27,No,72.25117647058823,-3.951176470588237,4,Developing,Medium,1,1,0,1
Male,1,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,100.66,7029.58,No,100.42257142857143,0.23742857142856622,6,Loyal,Very High,2,0,0,1
Male,0,Yes,Yes,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,34.06,2315.3,No,35.080303030303035,-1.0203030303030332,2,Loyal,Low,2,0,0,0
Female,0,No,No,33,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,37.88,1303.49,Yes,39.49969696969697,-1.6196969696969674,0,Established,Low,2,1,0,0
Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,43.55,1364.73,No,44.023548387096774,-0.47354838709677693,2,Established,Medium,1,0,0,0
Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,28.25,1693.28,No,27.758688524590163,0.49131147540983733,1,Loyal,Low,0,0,0,0
Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,88.14,202.65,No,202.65,-114.51,4,New,High,2,0,0,0
Male,0,No,No,23,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,50.74,1239.6,No,53.89565217391304,-3.1556521739130403,2,Developing,Medium,0,1,1,0
Male,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,81.9,3335.09,No,83.37725,-1.477249999999998,3,Established,High,0,0,0,0
Female,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,26.49,1276.13,No,26.58604166666667,-0.09604166666667169,1,Established,Low,2,0,0,0
Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.87,3860.88,No,83.93217391304348,0.9378260869565196,4,Established,High,2,1,1,0
Male,0,Yes,No,27,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,60.31,1473.59,No,54.57740740740741,5.732592592592596,4,Established,Medium,2,0,1,0
Female,0,Yes,No,63,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer,42.46,2716.89,No,43.125238095238096,-0.6652380952380952,1,Loyal,Medium,2,0,0,0
Female,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer,86.39,4033.67,No,85.8227659574468,0.5672340425531956,4,Established,High,1,0,0,1
Male,0,Yes,Yes,39,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,62.55,2457.16,No,63.00410256410256,-0.45410256410256267,4,Established,Medium,2,0,0,1
Male,0,No,No,68,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,69.28,4908.41,No,72.1825,-2.9025000000000034,5,Loyal,Medium,2,0,0,1
Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,88.39,718.78,No,102.68285714285715,-14.292857142857144,4,New,High,1,0,0,0
Male,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,95.05,4978.41,Yes,95.73865384615384,-0.6886538461538407,5,Loyal,High,2,0,1,0
Male,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,71.15,4758.98,No,71.02955223880596,0.12044776119404332,6,Loyal,High,0,1,1,1
Female,1,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.81,1733.34,No,36.11125,-1.301249999999996,1,Established,Low,1,0,0,0
Male,0,Yes,No,41,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,57.98,2449.61,No,59.74658536585366,-1.7665853658536648,2,Established,Medium,2,0,0,0
Male,0,Yes,No,27,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,72.16,1917.33,No,71.01222222222222,1.147777777777776,5,Established,High,2,0,0,0
Male,0,Yes,No,20,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,65.94,1297.87,No,64.89349999999999,1.0465000000000089,4,Developing,Medium,2,0,0,1
Male,0,Yes,No,40,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,60.46,2437.17,No,60.92925,-0.4692500000000024,4,Established,Medium,0,0,1,0
Female,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,67.66,4337.37,No,66.72876923076923,0.9312307692307655,1,Loyal,Medium,2,0,0,0
Male,0,No,Yes,34,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,61.11,2022.81,No,59.49441176470588,1.615588235294119,4,Established,Medium,0,0,1,0
Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,22.32,110.68,No,12.297777777777778,10.022222222222222,1,New,Low,0,0,0,0
Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,33.49,1311.51,No,37.471714285714285,-3.9817142857142827,2,Established,Low,2,0,0,0
Female,0,Yes,Yes,8,No,No phone service,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer,52.09,308.84,No,38.605,13.485000000000007,1,New,Medium,1,0,0,0
Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card,89.43,5976.28,No,87.88647058823528,1.5435294117647231,4,Loyal,High,1,0,0,0
Female,1,No,No,39,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,88.12,3254.09,No,83.43820512820513,4.681794871794878,3,Established,High,2,0,0,1
Male,1,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.85,591.08,No,36.9425,-3.092500000000001,1,Developing,Low,0,1,0,0
Male,1,No,No,45,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card,64.23,2814.59,No,62.54644444444445,1.6835555555555572,5,Established,Medium,2,0,1,1
Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,91.15,3615.45,No,92.70384615384614,-1.5538461538461377,4,Established,High,0,1,0,0
Female,0,Yes,No,37,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer,51.41,1898.26,No,51.30432432432433,0.10567567567566982,2,Established,Medium,1,0,0,0
Female,0,No,No,43,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card,68.73,3057.2,No,71.09767441860464,-2.3676744186046363,4,Established,Medium,2,0,0,0
Female,0,Yes,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.88,1933.94,No,28.864776119402986,1.0152238805970129,1,Loyal,Low,2,1,0,0
Male,0,Yes,No,62,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,76.66,4757.62,No,76.7358064516129,-0.07580645161290533,5,Loyal,High,2,1,1,0
Female,0,No,Yes,19,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.83,1662.67,No,87.50894736842106,-4.678947368421063,3,Developing,High,2,1,0,1
Female,1,No,Yes,18,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card,66.31,1290.77,No,71.70944444444444,-5.399444444444441,4,Developing,Medium,1,0,1,0
Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.43,2421.87,No,33.63708333333333,-1.2070833333333297,2,Loyal,Low,2,0,0,0
Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer,74.14,3528.93,No,75.0836170212766,-0.9436170212765944,3,Established,High,0,0,1,0
Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,82.68,163.31,Yes,81.655,1.0250000000000057,7,New,High,2,1,1,1
Male,0,Yes,No,39,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,82.59,3267.74,No,83.78820512820512,-1.1982051282051174,3,Established,High,2,1,0,0
Female,0,Yes,Yes,9,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,67.21,500.12,Yes,55.56888888888889,11.641111111111101,4,New,Medium,2,1,0,0
Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card,63.66,160.79,No,53.596666666666664,10.063333333333333,3,New,Medium,2,0,0,0
Female,0,No,No,14,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,80.35,1237.73,No,88.40928571428572,-8.059285714285721,3,Developing,High,1,1,1,0
Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,38.32,801.89,No,42.20473684210526,-3.884736842105262,2,Developing,Low,2,0,0,0
Female,1,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer,93.09,460.96,No,76.82666666666667,16.263333333333335,4,New,High,1,0,0,0
Female,0,Yes,No,61,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,62.41,3835.17,No,62.8716393442623,-0.46163934426230213,4,Loyal,Medium,2,0,1,1
Female,0,No,Yes,32,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,74.6,2315.06,Yes,72.345625,2.254374999999996,6,Established,High,2,0,1,0
Male,0,No,Yes,40,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,99.91,3973.63,No,99.34075,0.5692499999999967,5,Established,High,2,0,0,1
Male,0,No,No,63,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,69.54,4499.55,No,71.42142857142858,-1.8814285714285717,5,Loyal,Medium,2,1,1,0
Male,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,83.15,4926.58,No,80.76360655737705,2.3863934426229605,3,Loyal,High,2,0,0,0
Female,1,No,No,60,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer,72.07,4222.0,No,70.36666666666666,1.7033333333333331,2,Loyal,High,1,0,0,0
Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.99,551.94,No,36.79600000000001,-0.8060000000000045,2,Developing,Low,2,1,0,0
Female,0,No,No,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,92.29,5021.23,No,92.98574074074074,-0.6957407407407317,4,Loyal,High,2,0,0,0
Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.25,2225.91,No,30.915416666666665,0.33458333333333456,2,Loyal,Low,2,1,0,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,172.64,Yes,172.64,-92.68999999999998,2,New,High,2,1,0,0
Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer,87.98,5524.44,No,87.6895238095238,0.2904761904761983,4,Loyal,High,0,0,0,1
Male,0,Yes,No,63,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,51.16,3244.79,No,51.504603174603176,-0.34460317460317924,3,Loyal,Medium,0,0,0,0
Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,86.9,5305.53,No,86.97590163934426,-0.0759016393442522,4,Loyal,High,1,1,1,0
Male,0,No,No,29,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card,54.87,1570.82,No,54.16620689655172,0.7037931034482767,2,Established,Medium,2,0,0,0
Male,0,Yes,No,15,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,56.41,905.89,Yes,60.39266666666666,-3.982666666666667,3,Developing,Medium,2,1,0,0
Male,0,No,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,96.67,5058.91,Yes,95.45113207547169,1.2188679245283112,4,Loyal,High,2,0,0,1
Female,0,Yes,Yes,45,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,61.91,2889.39,No,64.20866666666666,-2.298666666666662,3,Established,Medium,0,1,0,0
Male,1,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.95,2035.56,No,38.40679245283019,-1.4567924528301859,1,Loyal,Low,2,1,0,0
Male,0,Yes,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.59,526.67,No,27.719473684210524,-4.129473684210524,1,Developing,Low,2,0,0,0
Male,0,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card,79.16,1211.63,No,93.2023076923077,-14.042307692307702,3,Developing,High,1,0,0,0
Male,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,84.04,5496.32,No,84.55876923076923,-0.5187692307692231,4,Loyal,High,1,0,1,0
Female,0,Yes,Yes,38,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,64.93,2477.27,No,65.19131578947368,-0.2613157894736702,5,Established,Medium,2,1,1,0
Male,0,Yes,Yes,62,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,73.17,4574.0,No,73.7741935483871,-0.6041935483871015,6,Loyal,High,2,1,1,1
Female,0,Yes,Yes,67,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card,52.35,3474.59,No,51.859552238805975,0.49044776119402655,1,Loyal,Medium,0,0,0,0
Male,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.77,2909.34,No,85.56882352941177,0.20117647058822286,4,Established,High,2,1,0,1
Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,21.63,344.44,No,18.12842105263158,3.5015789473684187,1,Developing,Low,0,0,0,0
Male,0,Yes,Yes,65,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.21,3957.4,No,60.88307692307693,-1.673076923076927,3,Loyal,Medium,2,1,0,0
Female,0,No,No,52,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,58.29,2950.64,No,56.74307692307692,1.546923076923079,2,Loyal,Medium,0,1,0,0
Male,0,Yes,No,48,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,62.52,2935.55,No,61.15729166666667,1.3627083333333303,5,Established,Medium,0,1,0,1
Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.6,5130.42,No,74.35391304347826,0.2460869565217365,3,Loyal,High,2,1,0,0
Female,0,Yes,Yes,18,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,70.22,1175.75,No,65.31944444444444,4.900555555555556,5,Developing,High,1,0,1,1
Female,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.21,1903.39,No,73.2073076923077,2.0026923076922998,3,Established,High,2,0,0,0
Male,0,No,No,3,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,69.33,179.6,No,59.86666666666667,9.463333333333331,5,New,Medium,2,0,0,0
Male,0,Yes,No,28,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.76,1652.93,No,59.03321428571429,-2.273214285714289,2,Established,Medium,2,1,0,0
Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,68.49,2144.4,No,64.98181818181818,3.5081818181818107,1,Established,Medium,1,0,0,0
Male,1,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.83,1173.68,No,35.56606060606061,1.2639393939393884,2,Established,Low,2,0,0,0
Female,0,Yes,No,11,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,60.12,685.33,No,62.302727272727275,-2.182727272727277,3,New,Medium,2,1,0,0
Male,0,No,Yes,59,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,47.83,2862.02,No,48.508813559322036,-0.6788135593220375,2,Loyal,Medium,0,1,0,0
Female,0,No,Yes,36,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,48.78,1963.61,No,54.54472222222222,-5.764722222222218,2,Established,Medium,0,1,0,0
Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.98,2708.41,Yes,84.6378125,-3.6578124999999915,2,Established,High,2,1,0,0
Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,82.2,5310.77,No,84.29793650793651,-2.0979365079365095,3,Loyal,High,2,0,0,0
Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.84,2859.42,No,79.42833333333334,3.4116666666666617,3,Established,High,2,1,0,0
