Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,84.04,5496.32,0
Female,0,Yes,Yes,38,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,64.93,2477.27,0
Male,0,Yes,Yes,62,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,73.17,4574.0,0
Female,0,Yes,Yes,67,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Credit card,52.35,3474.59,0
Male,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.77,2909.34,0
Male,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,21.63,344.44,0
Male,0,Yes,Yes,65,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.21,3957.4,0
Female,0,No,No,52,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,58.29,2950.64,0
Male,0,Yes,No,48,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,62.52,2935.55,0
Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.6,5130.42,0
Female,0,Yes,Yes,18,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,70.22,1175.75,0
Female,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.21,1903.39,0
Male,0,No,No,3,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,69.33,179.6,0
Male,0,Yes,No,28,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.76,1652.93,0
Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,68.49,2144.4,0
Male,1,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.83,1173.68,0
Female,0,Yes,No,11,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,60.12,685.33,0
Male,0,No,Yes,59,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,47.83,2862.02,0
Female,0,No,Yes,36,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,48.78,1963.61,0
Male,0,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.98,2708.41,1
Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,82.2,5310.77,0
Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.84,2859.42,0
Female,0,Yes,No,65,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,91.86,5997.7,0
Male,0,Yes,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.49,381.65,0
Female,1,No,No,62,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,70.78,4290.55,0
Female,0,Yes,Yes,72,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,55.53,3979.29,0
Male,0,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,78.56,4385.73,0
Female,1,Yes,No,65,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,57.99,3838.88,0
Male,1,No,No,54,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card,74.3,4114.28,0
Male,0,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.45,1350.39,0
Male,0,Yes,No,55,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.13,3703.94,0
Female,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,23.74,1710.4,0
Female,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.42,1442.74,0
Female,0,No,No,50,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,75.1,3792.59,0
Male,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,30.42,33.7,0
Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,81.33,5693.67,0
Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,74.34,4197.28,0
Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,105.17,1262.51,0
Female,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.32,626.33,1
Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,92.43,1560.81,0
Female,0,Yes,No,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,99.86,2326.67,0
Female,1,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,67.93,4416.56,0
Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,39.84,1331.09,0
Female,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card,82.47,2355.7,0
Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card,87.69,4949.48,0
Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,80.83,2121.29,0
Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,73.05,4649.2,0
Male,0,No,Yes,55,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer,39.46,2118.52,0
Male,0,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer,87.59,1655.45,0
Female,0,No,No,46,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card,69.3,3203.61,0
Female,0,Yes,No,35,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,59.22,2009.38,0
Female,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,62.96,1578.16,0
Female,0,No,No,66,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,83.08,5536.44,0
Male,1,Yes,No,29,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,46.02,1306.07,0
Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,82.22,792.74,1
Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,33.2,1101.87,0
Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Bank transfer,86.88,3226.03,0
Female,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,26.29,286.55,0
Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.84,5068.21,0
Male,0,Yes,Yes,17,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card,50.54,878.42,0
Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,86.11,536.67,1
Male,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,99.29,3911.4,1
Male,0,Yes,Yes,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,20.69,234.84,0
Male,0,Yes,No,57,No,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,44.86,2455.73,0
Male,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.87,110.78,0
Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,82.7,2472.04,0
Male,1,Yes,No,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,19.55,18.0,0
Female,0,No,No,28,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.69,1460.72,1
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card,87.36,5753.27,0
Male,0,Yes,No,47,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,68.9,3350.05,0
Male,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,32.31,1305.58,0
Male,0,Yes,No,12,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,71.23,974.33,1
Male,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.27,1864.44,0
Male,0,Yes,No,28,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,93.12,2697.28,0
Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,80.28,3337.51,0
Male,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,86.23,1243.85,1
Male,1,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card,77.44,5584.77,0
Male,0,Yes,No,47,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,51.19,2485.45,1
Female,1,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card,87.14,2155.67,0
Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,74.99,594.55,1
Female,1,Yes,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer,69.99,3074.49,0
Female,0,Yes,Yes,33,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card,57.97,1916.21,0
Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.25,3592.63,0
Male,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,31.21,1394.06,0
Male,1,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,35.93,1482.75,0
Female,0,Yes,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,35.46,2165.35,0
Male,0,No,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,102.55,3797.97,0
Male,0,Yes,Yes,53,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card,44.0,2390.79,0
Male,1,No,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,93.52,2456.56,1
Male,0,No,No,68,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,64.54,4524.24,0
Female,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,91.83,2874.51,0
Male,0,No,No,49,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,56.51,2720.78,0
Female,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.3,2635.71,0
Male,0,Yes,No,26,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.01,1429.29,0
Female,0,Yes,Yes,8,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,47.78,420.66,0
Female,0,Yes,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,33.14,621.35,0
Male,1,Yes,No,18,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,66.73,1333.44,0
Male,1,No,No,5,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card,50.26,370.95,1
Male,0,Yes,No,40,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,94.09,3781.43,0
Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,21.47,517.8,0
Male,0,No,No,7,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,65.0,530.09,1
Female,1,Yes,No,10,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,90.43,1042.81,1
Female,0,No,No,20,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,61.43,1240.38,0
Female,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,86.43,2438.67,1
Female,0,No,No,71,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer,56.5,3983.43,0
Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,85.57,4406.22,0
Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,101.83,5371.9,0
Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.79,1550.15,0
Male,1,Yes,No,58,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,89.64,5229.73,0
Female,0,No,No,23,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.47,1601.37,1
Male,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.3,793.42,1
Male,0,Yes,No,37,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card,47.64,1809.9,0
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,40.31,54.89,1
Female,1,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,75.66,1270.4,1
Female,0,No,Yes,55,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,51.94,2742.53,0
Male,0,No,No,37,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,56.6,2133.67,0
Female,0,No,No,50,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,83.3,4033.88,0
Female,0,Yes,No,37,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,61.43,2207.44,1
Female,0,No,No,40,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,61.66,2497.89,0
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer,90.54,1992.67,1
Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card,81.38,1171.49,0
Female,0,Yes,No,19,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.44,1134.86,0
Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,72.91,4205.49,0
Male,0,Yes,No,71,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Bank transfer,46.0,3124.3,0
Male,1,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.97,31.19,0
Male,0,Yes,No,39,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,85.8,3301.49,0
Female,1,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,88.9,3094.5,0
Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,86.74,3464.34,0
Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.18,1242.59,0
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,92.22,200.34,0
Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.38,1289.37,1
Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,24.26,368.8,0
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.58,99.64,0
Female,0,No,No,26,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card,85.94,2401.86,0
Male,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.71,1711.28,0
Female,0,Yes,No,70,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,51.17,3588.78,0
Female,1,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,83.58,3997.68,0
Female,1,No,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,91.68,1226.73,0
Male,0,No,No,27,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Credit card,37.71,959.74,0
Male,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.38,625.51,1
Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.52,592.62,0
Male,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,29.68,2238.91,0
Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,80.23,3847.37,0
Male,0,No,No,35,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,94.01,3320.5,1
Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,77.34,2368.89,0
Male,1,Yes,No,23,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,66.97,1440.06,0
Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,32.3,1062.97,0
Male,0,Yes,No,46,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer,47.47,2256.86,0
Female,1,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,31.69,1983.79,0
Male,0,Yes,Yes,36,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,86.43,3008.76,1
Female,0,No,No,14,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card,50.36,630.56,0
Female,1,Yes,No,69,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,67.17,4662.43,0
Male,1,No,No,23,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,101.35,2296.61,0
Female,0,No,Yes,6,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,69.58,324.38,0
Female,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,30.59,1198.48,0
Male,0,No,No,57,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card,58.15,3288.16,0
Female,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,69.97,1402.09,1
Male,0,No,No,21,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,56.25,1159.97,0
Female,0,Yes,Yes,21,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,46.02,1083.34,0
Female,0,No,No,59,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,54.01,3023.04,0
Male,0,No,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,35.02,2452.95,0
Male,0,No,No,62,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,62.02,4013.21,0
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.61,526.53,0
Male,0,No,No,62,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,66.86,4123.0,0
Male,0,Yes,Yes,23,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,62.91,1393.91,0
Female,0,Yes,No,63,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.47,3441.15,0
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,95.3,6946.27,0
Female,0,Yes,No,52,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,61.77,3148.88,0
Male,0,Yes,Yes,69,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,62.77,4403.63,0
Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,92.21,1045.64,0
Male,0,No,No,48,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card,52.26,2561.1,0
Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,78.36,237.87,0
Female,0,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer,91.58,4331.67,0
Female,0,No,No,25,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,75.47,1887.12,1
Female,1,No,No,70,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,77.15,5415.76,0
Male,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,83.21,2794.48,0
Male,0,No,Yes,55,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer,81.22,4509.14,0
Female,0,No,No,22,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card,73.18,1788.6,0
Male,0,No,No,6,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,52.46,212.68,0
Male,0,No,No,54,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer,56.69,3136.97,0
Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,82.47,1300.67,0
Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,88.19,4591.12,0
Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card,73.57,2445.16,0
Male,0,No,No,70,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,59.88,4308.3,0
Female,0,No,Yes,26,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,50.22,1328.86,0
Female,1,No,No,29,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,80.77,2332.27,0
Female,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,30.87,1541.11,0
Female,0,Yes,No,57,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card,59.26,3421.83,0
Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,80.37,890.07,0
Male,0,No,No,54,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card,57.06,3105.39,0
Male,0,No,Yes,36,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,71.63,2487.32,0
Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card,89.47,6483.97,0
Male,0,No,No,46,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,73.51,3530.27,0
Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card,83.07,4639.16,0
Male,1,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,71.95,1881.61,0
Female,0,No,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.01,1536.44,1
Female,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,27.09,1529.81,0
Male,0,No,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,25.21,66.85,0
Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card,84.98,3540.3,0
Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,27.3,1874.45,0
Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,45.43,3272.47,0
Male,0,Yes,No,52,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,60.69,3233.16,0
